id,input_tokens,output
699,C_01 C_16 C_23,1-8-2
700,C_01 C_16 C_24,1-4-2
701,C_01 C_16 C_25,0-5-4
702,C_01 C_16 C_26,1-4-2
703,C_01 C_16 C_27,1-4-4
704,C_01 C_16 C_28,1-7-2
705,C_01 C_16 C_29,1-4-2
706,C_01 C_17 C_18,1-7-1
707,C_01 C_17 C_19,0-5-1
708,C_01 C_17 C_20,0-4-4
709,C_01 C_17 C_21,0-8-0
710,C_01 C_17 C_22,0-7-2
711,C_01 C_17 C_23,1-8-0
712,C_01 C_17 C_24,1-3-0
713,C_01 C_17 C_25,0-5-2
714,C_01 C_17 C_26,1-3-0
715,C_01 C_17 C_27,1-3-2
716,C_01 C_17 C_28,1-7-0
717,C_01 C_17 C_29,1-3-0
718,C_01 C_18 C_19,1-7-0
719,C_01 C_18 C_20,1-7-3
720,C_01 C_18 C_21,1-8-4
721,C_01 C_18 C_22,1-7-1
722,C_01 C_18 C_23,0-8-4
723,C_01 C_18 C_24,0-7-4
724,C_01 C_18 C_25,1-7-1
725,C_01 C_18 C_26,0-7-4
726,C_01 C_18 C_27,0-7-1
727,C_01 C_18 C_28,0-7-4
728,C_01 C_18 C_29,0-7-4
729,C_01 C_19 C_20,0-5-3
730,C_01 C_19 C_21,0-8-4
731,C_01 C_19 C_22,0-7-1
732,C_01 C_19 C_23,1-8-4
733,C_01 C_19 C_24,1-5-4
734,C_01 C_19 C_25,0-5-1
735,C_01 C_19 C_26,1-5-4
736,C_01 C_19 C_27,1-5-1
737,C_01 C_19 C_28,1-7-4
738,C_01 C_19 C_29,1-5-4
739,C_01 C_20 C_21,0-8-2
740,C_01 C_20 C_22,0-7-4
741,C_01 C_20 C_23,1-8-2
742,C_01 C_20 C_24,1-4-2
743,C_01 C_20 C_25,0-5-4
744,C_01 C_20 C_26,1-4-2
745,C_01 C_20 C_27,1-4-4
746,C_01 C_20 C_28,1-7-2
747,C_01 C_20 C_29,1-4-2
748,C_01 C_21 C_22,0-8-0
749,C_01 C_21 C_23,1-8-3
750,C_01 C_21 C_24,1-8-3
751,C_01 C_21 C_25,0-8-0
752,C_01 C_21 C_26,1-8-3
753,C_01 C_21 C_27,1-8-0
754,C_01 C_21 C_28,1-8-3
755,C_01 C_21 C_29,1-8-3
756,C_01 C_22 C_23,1-8-0
757,C_01 C_22 C_24,1-7-0
758,C_01 C_22 C_25,0-7-2
759,C_01 C_22 C_26,1-7-0
760,C_01 C_22 C_27,1-7-2
761,C_01 C_22 C_28,1-7-0
762,C_01 C_22 C_29,1-7-0
763,C_01 C_23 C_24,0-8-3
764,C_01 C_23 C_25,1-8-0
765,C_01 C_23 C_26,0-8-3
766,C_01 C_23 C_27,0-8-0
767,C_01 C_23 C_28,0-8-3
768,C_01 C_23 C_29,0-8-3
769,C_01 C_24 C_25,1-5-0
770,C_01 C_24 C_26,0-3-3
771,C_01 C_24 C_27,0-3-0
772,C_01 C_24 C_28,0-7-3
773,C_01 C_24 C_29,0-3-3
774,C_01 C_25 C_26,1-5-0
775,C_01 C_25 C_27,1-5-2
776,C_01 C_25 C_28,1-7-0
777,C_01 C_25 C_29,1-5-0
778,C_01 C_26 C_27,0-3-0
779,C_01 C_26 C_28,0-7-3
780,C_01 C_26 C_29,0-3-3
781,C_01 C_27 C_28,0-7-0
782,C_01 C_27 C_29,0-3-0
783,C_01 C_28 C_29,0-7-3
784,C_02 C_03 C_04,1-8-1
785,C_02 C_03 C_05,1-8-1
786,C_02 C_03 C_06,0-8-3
787,C_02 C_03 C_07,0-8-1
788,C_02 C_03 C_08,0-8-2
789,C_02 C_03 C_09,1-8-2
790,C_02 C_03 C_10,1-8-3
791,C_02 C_03 C_11,1-8-2
792,C_02 C_03 C_12,0-8-3
793,C_02 C_03 C_13,1-8-0
794,C_02 C_03 C_14,0-9-2
795,C_02 C_03 C_15,1-8-0
796,C_02 C_03 C_16,1-8-0
797,C_02 C_03 C_17,1-8-3
798,C_02 C_03 C_18,0-8-2
799,C_02 C_03 C_19,1-8-2
800,C_02 C_03 C_20,1-8-0
801,C_02 C_03 C_21,1-8-1
802,C_02 C_03 C_22,1-8-3
803,C_02 C_03 C_23,0-8-1
804,C_02 C_03 C_24,0-8-1
805,C_02 C_03 C_25,1-8-3
806,C_02 C_03 C_26,0-8-1
807,C_02 C_03 C_27,0-8-3
808,C_02 C_03 C_28,0-8-1
809,C_02 C_03 C_29,0-8-1
810,C_02 C_04 C_05,0-8-2
811,C_02 C_04 C_06,1-8-4
812,C_02 C_04 C_07,1-8-2
813,C_02 C_04 C_08,1-8-3
814,C_02 C_04 C_09,0-8-3
815,C_02 C_04 C_10,0-8-4
816,C_02 C_04 C_11,0-8-3
817,C_02 C_04 C_12,1-8-4
818,C_02 C_04 C_13,0-8-1
819,C_02 C_04 C_14,1-9-3
820,C_02 C_04 C_15,0-8-1
821,C_02 C_04 C_16,0-8-1
822,C_02 C_04 C_17,0-8-4
823,C_02 C_04 C_18,1-8-3
824,C_02 C_04 C_19,0-8-3
825,C_02 C_04 C_20,0-8-1
826,C_02 C_04 C_21,0-8-2
827,C_02 C_04 C_22,0-8-4
828,C_02 C_04 C_23,1-8-2
829,C_02 C_04 C_24,1-8-2
830,C_02 C_04 C_25,0-8-4
831,C_02 C_04 C_26,1-8-2
832,C_02 C_04 C_27,1-8-4
833,C_02 C_04 C_28,1-8-2
834,C_02 C_04 C_29,1-8-2
835,C_02 C_05 C_06,1-8-4
836,C_02 C_05 C_07,1-8-2
837,C_02 C_05 C_08,1-8-3
838,C_02 C_05 C_09,0-8-3
839,C_02 C_05 C_10,0-8-4
840,C_02 C_05 C_11,0-8-3
841,C_02 C_05 C_12,1-8-4
842,C_02 C_05 C_13,0-8-1
843,C_02 C_05 C_14,1-9-3
844,C_02 C_05 C_15,0-8-1
845,C_02 C_05 C_16,0-8-1
846,C_02 C_05 C_17,0-8-4
847,C_02 C_05 C_18,1-8-3
848,C_02 C_05 C_19,0-8-3
849,C_02 C_05 C_20,0-8-1
850,C_02 C_05 C_21,0-8-2
851,C_02 C_05 C_22,0-8-4
852,C_02 C_05 C_23,1-8-2
853,C_02 C_05 C_24,1-8-2
854,C_02 C_05 C_25,0-8-4
855,C_02 C_05 C_26,1-8-2
856,C_02 C_05 C_27,1-8-4
857,C_02 C_05 C_28,1-8-2
858,C_02 C_05 C_29,1-8-2
859,C_02 C_06 C_07,0-8-4
860,C_02 C_06 C_08,0-8-0
861,C_02 C_06 C_09,1-8-0
862,C_02 C_06 C_10,1-8-1
863,C_02 C_06 C_11,1-8-0
864,C_02 C_06 C_12,0-8-1
865,C_02 C_06 C_13,1-8-3
866,C_02 C_06 C_14,0-9-0
867,C_02 C_06 C_15,1-8-3
868,C_02 C_06 C_16,1-8-3
869,C_02 C_06 C_17,1-8-1
870,C_02 C_06 C_18,0-8-0
871,C_02 C_06 C_19,1-8-0
872,C_02 C_06 C_20,1-8-3
873,C_02 C_06 C_21,1-8-4
874,C_02 C_06 C_22,1-8-1
875,C_02 C_06 C_23,0-8-4
876,C_02 C_06 C_24,0-8-4
877,C_02 C_06 C_25,1-8-1
878,C_02 C_06 C_26,0-8-4
879,C_02 C_06 C_27,0-8-1
880,C_02 C_06 C_28,0-8-4
881,C_02 C_06 C_29,0-8-4
882,C_02 C_07 C_08,0-8-3
883,C_02 C_07 C_09,1-8-3
884,C_02 C_07 C_10,1-8-4
885,C_02 C_07 C_11,1-8-3
886,C_02 C_07 C_12,0-8-4
887,C_02 C_07 C_13,1-8-1
888,C_02 C_07 C_14,0-9-3
889,C_02 C_07 C_15,1-8-1
890,C_02 C_07 C_16,1-8-1
891,C_02 C_07 C_17,1-8-4
892,C_02 C_07 C_18,0-8-3
893,C_02 C_07 C_19,1-8-3
894,C_02 C_07 C_20,1-8-1
895,C_02 C_07 C_21,1-8-2
896,C_02 C_07 C_22,1-8-4
897,C_02 C_07 C_23,0-8-2
898,C_02 C_07 C_24,0-8-2
899,C_02 C_07 C_25,1-8-4
900,C_02 C_07 C_26,0-8-2
901,C_02 C_07 C_27,0-8-4
902,C_02 C_07 C_28,0-8-2
903,C_02 C_07 C_29,0-8-2
904,C_02 C_08 C_09,1-8-4
905,C_02 C_08 C_10,1-8-0
906,C_02 C_08 C_11,1-8-4
907,C_02 C_08 C_12,0-8-0
908,C_02 C_08 C_13,1-8-2
909,C_02 C_08 C_14,0-9-4
910,C_02 C_08 C_15,1-8-2
911,C_02 C_08 C_16,1-8-2
912,C_02 C_08 C_17,1-8-0
913,C_02 C_08 C_18,0-8-4
914,C_02 C_08 C_19,1-8-4
915,C_02 C_08 C_20,1-8-2
916,C_02 C_08 C_21,1-8-3
917,C_02 C_08 C_22,1-8-0
918,C_02 C_08 C_23,0-8-3
919,C_02 C_08 C_24,0-8-3
920,C_02 C_08 C_25,1-8-0
921,C_02 C_08 C_26,0-8-3
922,C_02 C_08 C_27,0-8-0
923,C_02 C_08 C_28,0-8-3
924,C_02 C_08 C_29,0-8-3
925,C_02 C_09 C_10,0-8-0
926,C_02 C_09 C_11,0-8-4
927,C_02 C_09 C_12,1-8-0
928,C_02 C_09 C_13,0-8-2
929,C_02 C_09 C_14,1-9-4
930,C_02 C_09 C_15,0-8-2
931,C_02 C_09 C_16,0-8-2
932,C_02 C_09 C_17,0-8-0
933,C_02 C_09 C_18,1-8-4
934,C_02 C_09 C_19,0-8-4
935,C_02 C_09 C_20,0-8-2
936,C_02 C_09 C_21,0-8-3
937,C_02 C_09 C_22,0-8-0
938,C_02 C_09 C_23,1-8-3
939,C_02 C_09 C_24,1-8-3
940,C_02 C_09 C_25,0-8-0
941,C_02 C_09 C_26,1-8-3
942,C_02 C_09 C_27,1-8-0
943,C_02 C_09 C_28,1-8-3
944,C_02 C_09 C_29,1-8-3
945,C_02 C_10 C_11,0-8-0
946,C_02 C_10 C_12,1-8-1
947,C_02 C_10 C_13,0-8-3
948,C_02 C_10 C_14,1-9-0
949,C_02 C_10 C_15,0-8-3
950,C_02 C_10 C_16,0-8-3
951,C_02 C_10 C_17,0-8-1
952,C_02 C_10 C_18,1-8-0
953,C_02 C_10 C_19,0-8-0
954,C_02 C_10 C_20,0-8-3
955,C_02 C_10 C_21,0-8-4
956,C_02 C_10 C_22,0-8-1
957,C_02 C_10 C_23,1-8-4
958,C_02 C_10 C_24,1-8-4
959,C_02 C_10 C_25,0-8-1
960,C_02 C_10 C_26,1-8-4
961,C_02 C_10 C_27,1-8-1
962,C_02 C_10 C_28,1-8-4
963,C_02 C_10 C_29,1-8-4
964,C_02 C_11 C_12,1-8-0
965,C_02 C_11 C_13,0-8-2
966,C_02 C_11 C_14,1-9-4
967,C_02 C_11 C_15,0-8-2
968,C_02 C_11 C_16,0-8-2
969,C_02 C_11 C_17,0-8-0
970,C_02 C_11 C_18,1-8-4
971,C_02 C_11 C_19,0-8-4
972,C_02 C_11 C_20,0-8-2
973,C_02 C_11 C_21,0-8-3
974,C_02 C_11 C_22,0-8-0
975,C_02 C_11 C_23,1-8-3
976,C_02 C_11 C_24,1-8-3
977,C_02 C_11 C_25,0-8-0
978,C_02 C_11 C_26,1-8-3
979,C_02 C_11 C_27,1-8-0
980,C_02 C_11 C_28,1-8-3
981,C_02 C_11 C_29,1-8-3
982,C_02 C_12 C_13,1-8-3
983,C_02 C_12 C_14,0-9-0
984,C_02 C_12 C_15,1-8-3
985,C_02 C_12 C_16,1-8-3
986,C_02 C_12 C_17,1-8-1
987,C_02 C_12 C_18,0-8-0
988,C_02 C_12 C_19,1-8-0
989,C_02 C_12 C_20,1-8-3
990,C_02 C_12 C_21,1-8-4
991,C_02 C_12 C_22,1-8-1
992,C_02 C_12 C_23,0-8-4
993,C_02 C_12 C_24,0-8-4
994,C_02 C_12 C_25,1-8-1
995,C_02 C_12 C_26,0-8-4
996,C_02 C_12 C_27,0-8-1
997,C_02 C_12 C_28,0-8-4
998,C_02 C_12 C_29,0-8-4
999,C_02 C_13 C_14,1-9-2
1000,C_02 C_13 C_15,0-8-0
1001,C_02 C_13 C_16,0-8-0
1002,C_02 C_13 C_17,0-8-3
1003,C_02 C_13 C_18,1-8-2
1004,C_02 C_13 C_19,0-8-2
1005,C_02 C_13 C_20,0-8-0
1006,C_02 C_13 C_21,0-8-1
1007,C_02 C_13 C_22,0-8-3
1008,C_02 C_13 C_23,1-8-1
1009,C_02 C_13 C_24,1-8-1
1010,C_02 C_13 C_25,0-8-3
1011,C_02 C_13 C_26,1-8-1
1012,C_02 C_13 C_27,1-8-3
1013,C_02 C_13 C_28,1-8-1
1014,C_02 C_13 C_29,1-8-1
1015,C_02 C_14 C_15,1-9-2
1016,C_02 C_14 C_16,1-9-2
1017,C_02 C_14 C_17,1-9-0
1018,C_02 C_14 C_18,0-9-4
1019,C_02 C_14 C_19,1-9-4
1020,C_02 C_14 C_20,1-9-2
1021,C_02 C_14 C_21,1-9-3
1022,C_02 C_14 C_22,1-9-0
1023,C_02 C_14 C_23,0-9-3
1024,C_02 C_14 C_24,0-9-3
1025,C_02 C_14 C_25,1-9-0
1026,C_02 C_14 C_26,0-9-3
1027,C_02 C_14 C_27,0-9-0
1028,C_02 C_14 C_28,0-9-3
1029,C_02 C_14 C_29,0-9-3
1030,C_02 C_15 C_16,0-8-0
1031,C_02 C_15 C_17,0-8-3
1032,C_02 C_15 C_18,1-8-2
1033,C_02 C_15 C_19,0-8-2
1034,C_02 C_15 C_20,0-8-0
1035,C_02 C_15 C_21,0-8-1
1036,C_02 C_15 C_22,0-8-3
1037,C_02 C_15 C_23,1-8-1
1038,C_02 C_15 C_24,1-8-1
1039,C_02 C_15 C_25,0-8-3
1040,C_02 C_15 C_26,1-8-1
1041,C_02 C_15 C_27,1-8-3
1042,C_02 C_15 C_28,1-8-1
1043,C_02 C_15 C_29,1-8-1
1044,C_02 C_16 C_17,0-8-3
1045,C_02 C_16 C_18,1-8-2
1046,C_02 C_16 C_19,0-8-2
1047,C_02 C_16 C_20,0-8-0
1048,C_02 C_16 C_21,0-8-1
1049,C_02 C_16 C_22,0-8-3
1050,C_02 C_16 C_23,1-8-1
1051,C_02 C_16 C_24,1-8-1
1052,C_02 C_16 C_25,0-8-3
1053,C_02 C_16 C_26,1-8-1
1054,C_02 C_16 C_27,1-8-3
1055,C_02 C_16 C_28,1-8-1
1056,C_02 C_16 C_29,1-8-1
1057,C_02 C_17 C_18,1-8-0
1058,C_02 C_17 C_19,0-8-0
1059,C_02 C_17 C_20,0-8-3
1060,C_02 C_17 C_21,0-8-4
1061,C_02 C_17 C_22,0-8-1
1062,C_02 C_17 C_23,1-8-4
1063,C_02 C_17 C_24,1-8-4
1064,C_02 C_17 C_25,0-8-1
1065,C_02 C_17 C_26,1-8-4
1066,C_02 C_17 C_27,1-8-1
1067,C_02 C_17 C_28,1-8-4
1068,C_02 C_17 C_29,1-8-4
1069,C_02 C_18 C_19,1-8-4
1070,C_02 C_18 C_20,1-8-2
1071,C_02 C_18 C_21,1-8-3
1072,C_02 C_18 C_22,1-8-0
1073,C_02 C_18 C_23,0-8-3
1074,C_02 C_18 C_24,0-8-3
1075,C_02 C_18 C_25,1-8-0
1076,C_02 C_18 C_26,0-8-3
1077,C_02 C_18 C_27,0-8-0
1078,C_02 C_18 C_28,0-8-3
1079,C_02 C_18 C_29,0-8-3
1080,C_02 C_19 C_20,0-8-2
1081,C_02 C_19 C_21,0-8-3
1082,C_02 C_19 C_22,0-8-0
1083,C_02 C_19 C_23,1-8-3
1084,C_02 C_19 C_24,1-8-3
1085,C_02 C_19 C_25,0-8-0
1086,C_02 C_19 C_26,1-8-3
1087,C_02 C_19 C_27,1-8-0
1088,C_02 C_19 C_28,1-8-3
1089,C_02 C_19 C_29,1-8-3
1090,C_02 C_20 C_21,0-8-1
1091,C_02 C_20 C_22,0-8-3
1092,C_02 C_20 C_23,1-8-1
1093,C_02 C_20 C_24,1-8-1
1094,C_02 C_20 C_25,0-8-3
1095,C_02 C_20 C_26,1-8-1
1096,C_02 C_20 C_27,1-8-3
1097,C_02 C_20 C_28,1-8-1
1098,C_02 C_20 C_29,1-8-1
1099,C_02 C_21 C_22,0-8-4
1100,C_02 C_21 C_23,1-8-2
1101,C_02 C_21 C_24,1-8-2
1102,C_02 C_21 C_25,0-8-4
1103,C_02 C_21 C_26,1-8-2
1104,C_02 C_21 C_27,1-8-4
1105,C_02 C_21 C_28,1-8-2
1106,C_02 C_21 C_29,1-8-2
1107,C_02 C_22 C_23,1-8-4
1108,C_02 C_22 C_24,1-8-4
1109,C_02 C_22 C_25,0-8-1
1110,C_02 C_22 C_26,1-8-4
1111,C_02 C_22 C_27,1-8-1
1112,C_02 C_22 C_28,1-8-4
1113,C_02 C_22 C_29,1-8-4
1114,C_02 C_23 C_24,0-8-2
1115,C_02 C_23 C_25,1-8-4
1116,C_02 C_23 C_26,0-8-2
1117,C_02 C_23 C_27,0-8-4
1118,C_02 C_23 C_28,0-8-2
1119,C_02 C_23 C_29,0-8-2
1120,C_02 C_24 C_25,1-8-4
1121,C_02 C_24 C_26,0-8-2
1122,C_02 C_24 C_27,0-8-4
1123,C_02 C_24 C_28,0-8-2
1124,C_02 C_24 C_29,0-8-2
1125,C_02 C_25 C_26,1-8-4
1126,C_02 C_25 C_27,1-8-1
1127,C_02 C_25 C_28,1-8-4
1128,C_02 C_25 C_29,1-8-4
1129,C_02 C_26 C_27,0-8-4
1130,C_02 C_26 C_28,0-8-2
1131,C_02 C_26 C_29,0-8-2
1132,C_02 C_27 C_28,0-8-4
1133,C_02 C_27 C_29,0-8-4
1134,C_02 C_28 C_29,0-8-2
1135,C_03 C_04 C_05,1-8-2
1136,C_03 C_04 C_06,0-3-4
1137,C_03 C_04 C_07,0-3-2
1138,C_03 C_04 C_08,0-5-3
1139,C_03 C_04 C_09,1-3-3
1140,C_03 C_04 C_10,1-3-4
1141,C_03 C_04 C_11,1-5-3
1142,C_03 C_04 C_12,0-3-4
1143,C_03 C_04 C_13,1-6-1
1144,C_03 C_04 C_14,0-9-3
1145,C_03 C_04 C_15,1-3-1
1146,C_03 C_04 C_16,1-4-1
1147,C_03 C_04 C_17,1-3-4
1148,C_03 C_04 C_18,0-7-3
1149,C_03 C_04 C_19,1-5-3
1150,C_03 C_04 C_20,1-4-1
1151,C_03 C_04 C_21,1-8-2
1152,C_03 C_04 C_22,1-7-4
1153,C_03 C_04 C_23,0-8-2
1154,C_03 C_04 C_24,0-3-2
1155,C_03 C_04 C_25,1-5-4
1156,C_03 C_04 C_26,0-3-2
1157,C_03 C_04 C_27,0-3-4
1158,C_03 C_04 C_28,0-7-2
1159,C_03 C_04 C_29,0-3-2
1160,C_03 C_05 C_06,0-8-4
1161,C_03 C_05 C_07,0-8-2
1162,C_03 C_05 C_08,0-8-3
1163,C_03 C_05 C_09,1-8-3
1164,C_03 C_05 C_10,1-8-4
1165,C_03 C_05 C_11,1-8-3
1166,C_03 C_05 C_12,0-8-4
1167,C_03 C_05 C_13,1-8-1
1168,C_03 C_05 C_14,0-9-3
1169,C_03 C_05 C_15,1-8-1
1170,C_03 C_05 C_16,1-8-1
1171,C_03 C_05 C_17,1-8-4
1172,C_03 C_05 C_18,0-8-3
1173,C_03 C_05 C_19,1-8-3
1174,C_03 C_05 C_20,1-8-1
1175,C_03 C_05 C_21,1-8-2
1176,C_03 C_05 C_22,1-8-4
1177,C_03 C_05 C_23,0-8-2
1178,C_03 C_05 C_24,0-8-2
1179,C_03 C_05 C_25,1-8-4
1180,C_03 C_05 C_26,0-8-2
1181,C_03 C_05 C_27,0-8-4
1182,C_03 C_05 C_28,0-8-2
1183,C_03 C_05 C_29,0-8-2
1184,C_03 C_06 C_07,1-3-4
1185,C_03 C_06 C_08,1-5-0
1186,C_03 C_06 C_09,0-3-0
1187,C_03 C_06 C_10,0-3-1
1188,C_03 C_06 C_11,0-5-0
1189,C_03 C_06 C_12,1-3-1
1190,C_03 C_06 C_13,0-6-3
1191,C_03 C_06 C_14,1-9-0
1192,C_03 C_06 C_15,0-3-3
1193,C_03 C_06 C_16,0-4-3
1194,C_03 C_06 C_17,0-3-1
1195,C_03 C_06 C_18,1-7-0
1196,C_03 C_06 C_19,0-5-0
1197,C_03 C_06 C_20,0-4-3
1198,C_03 C_06 C_21,0-8-4
1199,C_03 C_06 C_22,0-7-1
1200,C_03 C_06 C_23,1-8-4
1201,C_03 C_06 C_24,1-3-4
1202,C_03 C_06 C_25,0-5-1
1203,C_03 C_06 C_26,1-3-4
1204,C_03 C_06 C_27,1-3-1
1205,C_03 C_06 C_28,1-7-4
1206,C_03 C_06 C_29,1-3-4
1207,C_03 C_07 C_08,1-5-3
1208,C_03 C_07 C_09,0-3-3
1209,C_03 C_07 C_10,0-1-4
1210,C_03 C_07 C_11,0-5-3
1211,C_03 C_07 C_12,1-0-4
1212,C_03 C_07 C_13,0-6-1
1213,C_03 C_07 C_14,1-9-3
1214,C_03 C_07 C_15,0-1-1
1215,C_03 C_07 C_16,0-4-1
1216,C_03 C_07 C_17,0-1-4
1217,C_03 C_07 C_18,1-7-3
1218,C_03 C_07 C_19,0-5-3
1219,C_03 C_07 C_20,0-4-1
1220,C_03 C_07 C_21,0-8-2
1221,C_03 C_07 C_22,0-7-4
1222,C_03 C_07 C_23,1-8-2
1223,C_03 C_07 C_24,1-0-2
1224,C_03 C_07 C_25,0-5-4
1225,C_03 C_07 C_26,1-1-2
1226,C_03 C_07 C_27,1-3-4
1227,C_03 C_07 C_28,1-7-2
1228,C_03 C_07 C_29,1-2-2
1229,C_03 C_08 C_09,0-5-4
1230,C_03 C_08 C_10,0-5-0
1231,C_03 C_08 C_11,0-5-4
1232,C_03 C_08 C_12,1-5-0
1233,C_03 C_08 C_13,0-6-2
1234,C_03 C_08 C_14,1-9-4
1235,C_03 C_08 C_15,0-5-2
1236,C_03 C_08 C_16,0-5-2
1237,C_03 C_08 C_17,0-5-0
1238,C_03 C_08 C_18,1-7-4
1239,C_03 C_08 C_19,0-5-4
1240,C_03 C_08 C_20,0-5-2
1241,C_03 C_08 C_21,0-8-3
1242,C_03 C_08 C_22,0-7-0
1243,C_03 C_08 C_23,1-8-3
1244,C_03 C_08 C_24,1-5-3
1245,C_03 C_08 C_25,0-5-0
1246,C_03 C_08 C_26,1-5-3
1247,C_03 C_08 C_27,1-5-0
1248,C_03 C_08 C_28,1-7-3
1249,C_03 C_08 C_29,1-5-3
1250,C_03 C_09 C_10,1-3-0
1251,C_03 C_09 C_11,1-5-4
1252,C_03 C_09 C_12,0-3-0
1253,C_03 C_09 C_13,1-6-2
1254,C_03 C_09 C_14,0-9-4
1255,C_03 C_09 C_15,1-3-2
1256,C_03 C_09 C_16,1-4-2
1257,C_03 C_09 C_17,1-3-0
1258,C_03 C_09 C_18,0-7-4
1259,C_03 C_09 C_19,1-5-4
1260,C_03 C_09 C_20,1-4-2
1261,C_03 C_09 C_21,1-8-3
1262,C_03 C_09 C_22,1-7-0
1263,C_03 C_09 C_23,0-8-3
1264,C_03 C_09 C_24,0-3-3
1265,C_03 C_09 C_25,1-5-0
1266,C_03 C_09 C_26,0-3-3
1267,C_03 C_09 C_27,0-3-0
1268,C_03 C_09 C_28,0-7-3
1269,C_03 C_09 C_29,0-3-3
1270,C_03 C_10 C_11,1-5-0
1271,C_03 C_10 C_12,0-1-1
1272,C_03 C_10 C_13,1-6-3
1273,C_03 C_10 C_14,0-9-0
1274,C_03 C_10 C_15,1-1-3
1275,C_03 C_10 C_16,1-4-3
1276,C_03 C_10 C_17,1-1-1
1277,C_03 C_10 C_18,0-7-0
1278,C_03 C_10 C_19,1-5-0
1279,C_03 C_10 C_20,1-4-3
1280,C_03 C_10 C_21,1-8-4
1281,C_03 C_10 C_22,1-7-1
1282,C_03 C_10 C_23,0-8-4
1283,C_03 C_10 C_24,0-1-4
1284,C_03 C_10 C_25,1-5-1
1285,C_03 C_10 C_26,0-1-4
1286,C_03 C_10 C_27,0-3-1
1287,C_03 C_10 C_28,0-7-4
1288,C_03 C_10 C_29,0-2-4
1289,C_03 C_11 C_12,0-5-0
1290,C_03 C_11 C_13,1-6-2
1291,C_03 C_11 C_14,0-9-4
1292,C_03 C_11 C_15,1-5-2
1293,C_03 C_11 C_16,1-5-2
1294,C_03 C_11 C_17,1-5-0
1295,C_03 C_11 C_18,0-7-4
1296,C_03 C_11 C_19,1-5-4
1297,C_03 C_11 C_20,1-5-2
1298,C_03 C_11 C_21,1-8-3
1299,C_03 C_11 C_22,1-7-0
1300,C_03 C_11 C_23,0-8-3
1301,C_03 C_11 C_24,0-5-3
1302,C_03 C_11 C_25,1-5-0
1303,C_03 C_11 C_26,0-5-3
1304,C_03 C_11 C_27,0-5-0
1305,C_03 C_11 C_28,0-7-3
1306,C_03 C_11 C_29,0-5-3
1307,C_03 C_12 C_13,0-6-3
1308,C_03 C_12 C_14,1-9-0
1309,C_03 C_12 C_15,0-1-3
1310,C_03 C_12 C_16,0-4-3
1311,C_03 C_12 C_17,0-1-1
1312,C_03 C_12 C_18,1-7-0
1313,C_03 C_12 C_19,0-5-0
1314,C_03 C_12 C_20,0-4-3
1315,C_03 C_12 C_21,0-8-4
1316,C_03 C_12 C_22,0-7-1
1317,C_03 C_12 C_23,1-8-4
1318,C_03 C_12 C_24,1-0-4
1319,C_03 C_12 C_25,0-5-1
1320,C_03 C_12 C_26,1-1-4
1321,C_03 C_12 C_27,1-3-1
1322,C_03 C_12 C_28,1-7-4
1323,C_03 C_12 C_29,1-2-4
1324,C_03 C_13 C_14,0-9-2
1325,C_03 C_13 C_15,1-6-0
1326,C_03 C_13 C_16,1-6-0
1327,C_03 C_13 C_17,1-6-3
1328,C_03 C_13 C_18,0-7-2
1329,C_03 C_13 C_19,1-6-2
1330,C_03 C_13 C_20,1-6-0
1331,C_03 C_13 C_21,1-8-1
1332,C_03 C_13 C_22,1-7-3
1333,C_03 C_13 C_23,0-8-1
1334,C_03 C_13 C_24,0-6-1
1335,C_03 C_13 C_25,1-6-3
1336,C_03 C_13 C_26,0-6-1
1337,C_03 C_13 C_27,0-6-3
1338,C_03 C_13 C_28,0-7-1
1339,C_03 C_13 C_29,0-6-1
1340,C_03 C_14 C_15,0-9-2
1341,C_03 C_14 C_16,0-9-2
1342,C_03 C_14 C_17,0-9-0
1343,C_03 C_14 C_18,1-9-4
1344,C_03 C_14 C_19,0-9-4
1345,C_03 C_14 C_20,0-9-2
1346,C_03 C_14 C_21,0-9-3
1347,C_03 C_14 C_22,0-9-0
1348,C_03 C_14 C_23,1-9-3
1349,C_03 C_14 C_24,1-9-3
1350,C_03 C_14 C_25,0-9-0
1351,C_03 C_14 C_26,1-9-3
1352,C_03 C_14 C_27,1-9-0
1353,C_03 C_14 C_28,1-9-3
1354,C_03 C_14 C_29,1-9-3
1355,C_03 C_15 C_16,1-4-0
1356,C_03 C_15 C_17,1-1-3
1357,C_03 C_15 C_18,0-7-2
1358,C_03 C_15 C_19,1-5-2
1359,C_03 C_15 C_20,1-4-0
1360,C_03 C_15 C_21,1-8-1
1361,C_03 C_15 C_22,1-7-3
1362,C_03 C_15 C_23,0-8-1
1363,C_03 C_15 C_24,0-1-1
1364,C_03 C_15 C_25,1-5-3
1365,C_03 C_15 C_26,0-1-1
1366,C_03 C_15 C_27,0-3-3
1367,C_03 C_15 C_28,0-7-1
1368,C_03 C_15 C_29,0-2-1
1369,C_03 C_16 C_17,1-4-3
1370,C_03 C_16 C_18,0-7-2
1371,C_03 C_16 C_19,1-5-2
1372,C_03 C_16 C_20,1-4-0
1373,C_03 C_16 C_21,1-8-1
1374,C_03 C_16 C_22,1-7-3
1375,C_03 C_16 C_23,0-8-1
1376,C_03 C_16 C_24,0-4-1
1377,C_03 C_16 C_25,1-5-3
1378,C_03 C_16 C_26,0-4-1
